blindId,symbol,side,confirmedAtUtc,confirmedAtUtc8,displayStartIndex,displayEndIndex,candleCount,futureBars,svgPath,svgSha256,reviewer_significance,reviewer_confidence,reviewer_primaryReason,reviewer_notes
BLIND-027,BTCUSDT,LOW,2026-08-04T04:34:59.999Z,2026-08-04 12:34,9195,9282,88,0,manual-review/BLIND-027.svg,a18b4d76a8179420f58eb657e7c66603a2a88d8dad2405e49cdeb3d162229867,,,,
BLIND-028,BTCUSDT,LOW,2026-08-04T20:39:59.999Z,2026-08-05 04:39,9399,9475,77,0,manual-review/BLIND-028.svg,0059d67a6ac4702309f4913de26d96acb12b1e3ee67757f9f131ad01b8601c28,,,,
BLIND-029,BTCUSDT,HIGH,2026-08-04T23:29:59.999Z,2026-08-05 07:29,9435,9509,75,0,manual-review/BLIND-029.svg,c40a32716eb27799607bc078d248ff11955d1c8e5100332bdea46c52d58fe99c,,,,
BLIND-030,BTCUSDT,HIGH,2026-08-06T15:54:59.999Z,2026-08-06 23:54,9914,9994,81,0,manual-review/BLIND-030.svg,32111447a184eafc677b2e83a34b4fbfae4605df0dae340b153f51adcc7e20c9,,,,
BLIND-031,BTCUSDT,LOW,2026-08-10T01:24:59.999Z,2026-08-10 09:24,10892,10972,81,0,manual-review/BLIND-031.svg,728bad57718991acfb39b90c4e14ee3eeab02f4101dd5719c692108f01e793a3,,,,
BLIND-032,BTCUSDT,HIGH,2026-08-13T15:29:59.999Z,2026-08-13 23:29,11923,12005,83,0,manual-review/BLIND-032.svg,e815e52b0627bcab39e232958d468042e1497b5c50b8f7952c1a168c9010307a,,,,
BLIND-033,BTCUSDT,HIGH,2026-08-14T17:59:59.999Z,2026-08-15 01:59,12244,12323,80,0,manual-review/BLIND-033.svg,2dc4be52e5b86446c606fd66838770ad49efe54b0ca3b3ae15a51c872e53f607,,,,
BLIND-034,BTCUSDT,LOW,2026-08-18T23:44:59.999Z,2026-08-19 07:44,13457,13544,88,0,manual-review/BLIND-034.svg,836c8d7ee372ca8a1ec2ae93cfb2119263c21fc596954329e4f45af4d0201277,,,,
BLIND-035,BTCUSDT,LOW,2026-08-24T02:14:59.999Z,2026-08-24 10:14,14940,15014,75,0,manual-review/BLIND-035.svg,40d859a138484b94e591f9bb7e2aadc2a376fecab89e92b6ce56077db14bd9c6,,,,
BLIND-036,BTCUSDT,LOW,2026-08-24T11:34:59.999Z,2026-08-24 19:34,15048,15126,79,0,manual-review/BLIND-036.svg,90a5dd69f5aafae59e8a597e9975d87a05802405613ff49626ded5ae209dbe61,,,,
BLIND-037,BTCUSDT,LOW,2026-08-24T16:19:59.999Z,2026-08-25 00:19,15107,15183,77,0,manual-review/BLIND-037.svg,f1d99de6b2939bbaca53083efd092c09ff9d5730f70432827f0ed6120c05bd5d,,,,
BLIND-038,BTCUSDT,LOW,2026-08-26T13:44:59.999Z,2026-08-26 21:44,15653,15728,76,0,manual-review/BLIND-038.svg,c645801ae1b1ae54d3b0a576e0c2f78634a912a02db72f7a057f5dc9bf1bb7ff,,,,
BLIND-039,BTCUSDT,LOW,2026-08-28T16:29:59.999Z,2026-08-29 00:29,16265,16337,73,0,manual-review/BLIND-039.svg,2455d378552f2a9a9353e8c2f58253e0d593354ef60471fae1f39884f5f521c0,,,,
BLIND-040,BTCUSDT,HIGH,2026-08-31T14:24:59.999Z,2026-08-31 22:24,17096,17176,81,0,manual-review/BLIND-040.svg,62b2e609d0b236ccb33283817583de46e3e5368c4bbc7b2118670167d01a6caa,,,,
